"city","population","MCO","lat","lon","District","state","province","country"
"Woodbury",75102,726,44.919896,-92.9339449,4,"MN","Minnesota","US"
"Rochester",119756,726,44.0234387,-92.4630182,4,"MN","Minnesota","US"
"Maple Grove",61567,729,45.0984983,-93.4419222,4,"MN","Minnesota","US"
"Plymouth",70576,729,45.0065149,-93.46651,4,"MN","Minnesota","US"
"Duluth",86265,729,46.7729322,-92.1251218,4,"MN","Minnesota","US"
"Minneapolis",429954,729,44.9772995,-93.2654692,4,"MN","Minnesota","US"
"Council Bluffs",62799,730,41.258841,-95.8519484,4,"IA","Iowa","US"
"Bellevue",64176,730,41.1365122,-95.8937398,4,"NE","Nebraska","US"
"Lincoln",291082,730,40.8088861,-96.7077751,4,"NE","Nebraska","US"
"Omaha",486051,730,41.2587459,-95.9383758,4,"NE","Nebraska","US"
"Portland",68408,731,43.6573605,-70.2586618,24,"ME","Maine","US"
"San Clemente",65526,732,33.4270275,-117.6124179,2,"CA","California","US"
"Mission Viejo",97156,732,33.5965685,-117.659405,2,"CA","California","US"
"Costa Mesa",109960,732,33.6633386,-117.903317,2,"CA","California","US"
"Irvine",256927,732,33.6856969,-117.825981,2,"CA","California","US"
"Rowlett",63671,733,32.9029017,-96.56388,5,"TX","Texas","US"
"Richardson",116382,733,32.9481789,-96.7297206,5,"TX","Texas","US"
"Carrollton",133251,733,32.9537349,-96.8902816,5,"TX","Texas","US"
"Plano",288253,733,33.0136764,-96.6925096,5,"TX","Texas","US"
"Shawnee",59252,734,39.0229714,-94.7145415,3,"KS","Kansas","US"
"Lawrence",95358,734,38.9719137,-95.2359403,3,"KS","Kansas","US"
"Topeka",124331,734,39.049011,-95.677556,3,"KS","Kansas","US"
"Kansas City",463202,734,39.100105,-94.5781416,3,"MO","Missouri","US"
"Joplin",51762,735,37.0841838,-94.5133385,30,"MO","Missouri","US"
"Columbia",120612,735,38.951883,-92.3337366,30,"MO","Missouri","US"
"Springfield",169176,735,37.2081729,-93.2922715,30,"MO","Missouri","US"
"Saint Louis",301578,736,38.6280278,-90.1910154,30,"MO","Missouri","US"
"Austin",974447,737,30.2711286,-97.7436995,17,"TX","Texas","US"
"Moore",55081,738,35.3383254,-97.4867045,22,"OK","Oklahoma","US"
"Lawton",87540,738,34.6086854,-98.3903305,22,"OK","Oklahoma","US"
"Norman",102827,738,35.2225717,-97.4394816,22,"OK","Oklahoma","US"
"Palatine",67908,739,42.1105779,-88.0336888,16,"IL","Illinois","US"
"Waukegan",89321,739,42.3636331,-87.8447938,16,"IL","Illinois","US"
"Wichita Falls",102316,740,33.9004572,-98.5020777,5,"TX","Texas","US"
"Abilene",125182,740,32.44645,-99.7475905,5,"TX","Texas","US"
"Amarillo",200393,740,35.20729,-101.8371192,5,"TX","Texas","US"
"Lubbock",257141,740,33.5855677,-101.8470215,5,"TX","Texas","US"
"Mesquite",150108,741,32.7666103,-96.599472,5,"TX","Texas","US"
"Garland",242035,741,32.912624,-96.6388833,5,"TX","Texas","US"
"Dallas",1288457,741,32.7762719,-96.7968559,5,"TX","Texas","US"
"North Little Rock",64591,742,34.769536,-92.2670941,22,"AR","Arkansas","US"
"Jonesboro",78576,742,35.8272257,-90.6949871,22,"AR","Arkansas","US"
"Fort Smith",89142,742,35.3880338,-94.4265011,22,"AR","Arkansas","US"
